id,name,city,province,lat,lng,nature,wildlife,culture,adventure,beach,food,shopping,history,religious,activityCost,visitDuration,popularity,recommendedSeason,description
hakgala_gardens,Hakgala Botanical Garden,Nuwara Eliya,Central,6.9272,80.8203,5,2,2,2,1,1,1,2,1,3000,2.5,83,Mar - May,Highland botanical garden situated beneath the Hakgala Rock.
seetha_amman,Seetha Amman Temple,Nuwara Eliya,Central,6.9367,80.8122,2,1,4,1,1,1,2,5,5,2000,1.5,85,Year round,Hindu temple associated with the Ramayana epic near Hakgala.
victoria_park,Victoria Park of Nuwara Eliya,Nuwara Eliya,Central,6.9667,80.7667,4,2,2,1,1,1,1,2,1,500,2.0,81,Mar - May,Well-manicured urban park popular for highland birdwatching.
blue_field_tea,Blue Field Tea Factory,Ramboda,Central,7.0658,80.6869,4,1,3,2,1,3,3,3,1,1000,2.0,82,Year round,Working tea factory providing guided estate tours and tastings.
pedro_tea,Pedro Tea Estate,Nuwara Eliya,Central,6.9742,80.8039,4,1,3,2,1,3,3,3,1,1000,2.0,83,Year round,Historic tea plantation producing fine Ceylon black tea since 1885.
moon_plains,Moon Plains (Sandatenna),Nuwara Eliya,Central,6.9583,80.8167,5,3,1,4,1,1,1,1,1,1500,3.0,80,Year round,Highland plateau offering 360-degree views of major Sri Lanka peaks.
lovers_leap,Lover's Leap Waterfall,Nuwara Eliya,Central,6.9681,80.7936,4,1,1,3,1,1,1,1,1,500,2.0,79,Year round,30m waterfall fed by streams from Sri Lanka's tallest peak.
pidurutalagala,Pidurutalagala Peak View,Nuwara Eliya,Central,7.0008,80.7786,5,2,1,3,1,1,1,1,1,500,2.0,78,Year round,"Highest mountain peak in Sri Lanka (2,524m) summit viewpoint."
nalanda_gedige,Nalanda Gedige,Matale,Central,7.6686,80.6439,2,1,5,1,1,1,1,5,3,500,1.5,76,Year round,Ancient stone image house blending Hindu and Buddhist styles.
matale_spice,Matale Heritage Spice Gardens,Matale,Central,7.4667,80.6233,4,1,3,1,1,3,4,2,1,1000,2.0,81,Year round,"Guided tours of cinnamon, cardamom, nutmeg and herbal gardens."
kundasale_river,Mahaweli River Walk Kundasale,Kundasale,Central,7.2833,80.6833,4,2,1,2,1,1,1,1,1,0,2.0,70,Year round,Scenic walking trails along Sri Lanka's longest river near Kandy.
nelligala,Nelligala International Buddhist Centre,Muruthalawa,Central,7.2917,80.5583,4,1,4,2,1,1,1,2,5,500,2.0,88,Year round,Modern hilltop monastery featuring golden statues and mountain views.
ranweli_spice,Ranweli Spice Garden,Matale,Central,7.4722,80.6267,4,1,3,1,1,3,4,2,1,1000,1.5,78,Year round,Educational herbal garden exhibiting indigenous spice plants.
laxapana_falls,Laxapana Falls,Maskeliya,Central,6.9039,80.5003,5,1,1,4,1,1,1,1,1,500,2.5,81,Year round,126m high waterfall power station site surrounded by tea hills.
aberdeen_falls,Aberdeen Falls,Ginigathena,Central,6.9833,80.5,5,1,1,4,1,1,1,1,1,500,3.0,82,Year round,98m waterfall with a natural swimming pool in Nuwara Eliya district.
gartmore_falls,Gartmore (Sri Pada) Falls,Maskeliya,Central,6.8167,80.55,5,1,1,4,1,1,1,1,1,0,2.5,79,Year round,Twin waterfalls cascading directly into Maskeliya Reservoir.
maskeliya_lake,Maskeliya Reservoir & Dam,Maskeliya,Central,6.8333,80.5667,4,1,1,2,1,1,1,1,1,0,2.0,77,Year round,Picturesque mountain lake mirroring Adam's Peak on clear days.
keppetipola_walk,Keppetipola Tea Trail,Welimada,Central,6.9,80.9,4,1,2,2,1,1,1,2,1,0,2.0,71,Year round,Historic highland tea trail and agricultural research station.
chupatana,Chupatana Waterfall,Matale,Central,7.5,80.75,4,1,1,3,1,1,1,1,1,0,2.5,68,Year round,Hidden waterfall trail inside the Knuckles mountain range.
bambarakanda_view,Bambarakanda Viewpoint Central,Haldummulla,Central,6.7725,80.8358,5,1,1,4,1,1,1,1,1,500,2.5,84,Year round,Upper ridge outlook toward Sri Lanka's tallest waterfall (263m).
hunas_falls,Hunas Falls & Lake,Elkaduwa,Central,7.4,80.6833,5,1,1,3,1,2,1,1,1,1000,2.5,82,Year round,Waterfall and landscaped lake gardens tucked into Matale tea slopes.
kandy_cultural_centre,Kandy Cultural Centre & Lake Walk,Kandy,Central,7.2944,80.6383,2,1,5,1,1,3,4,4,2,2500,2.0,87,Year round,Traditional Kandyan dancing hall showcasing firewalking and drumming.
bahirawakanda,Bahirawakanda Buddha Statue,Kandy,Central,7.2972,80.6306,3,1,4,2,1,1,1,2,4,500,1.5,85,Year round,Giant 27m white Buddha statue overlooking Kandy city from a hill.
wewala_lake,Wewala Lake & Sanctuary,Dambulla,Central,7.87,80.63,4,3,1,2,1,1,1,1,1,0,2.0,70,Year round,Quiet rural lake near Dambulla ideal for birdwatching.
kalu_diya_pokuna,Kaludiya Pokuna Monastery,Dambulla,Central,7.7833,80.7,4,2,4,3,1,1,1,5,3,500,2.5,75,Year round,Black Water Pool forest monastery ruins near Dambulla.
inamuwa_craft,Inamaluwa Wood Craft Village,Dambulla,Central,7.9,80.7,2,1,4,1,1,2,5,2,1,0,1.5,73,Year round,Artisan village showcasing traditional Sri Lankan wood carving.
madugoda_pass,Madugoda Pass Viewpoint,Matale,Central,7.3333,80.85,5,1,1,4,1,1,1,1,1,0,1.5,74,Year round,Scenic hair-pin bend highway pass connecting Kandy to Mahiyangana.
yala_block1,Yala National Park,Yala,Southern,6.3728,81.5016,5,5,1,4,2,1,1,2,1,15000,6.0,95,Feb - Jul,Leopard safari park with elephants and lagoon birdlife.
galle_dutch_fort,Galle Dutch Fort,Galle,Southern,6.0262,80.2169,3,1,5,2,4,5,5,5,2,1500,3.5,94,Nov - Apr,UNESCO fort town with colonial streets and ramparts.
mirissa_whales,Mirissa Whale Watching & Beach,Mirissa,Southern,5.9449,80.4594,4,5,1,4,5,4,2,1,1,9000,5.0,92,Nov - Apr,Blue whale watching harbor and surf beach.
unawatuna_bay,Unawatuna Bay Beach,Galle,Southern,5.9784,80.2494,4,2,2,3,5,4,3,1,1,2000,4.0,90,Nov - Apr,Sheltered swimming beach with seafood dining.
hikkaduwa_coral,Hikkaduwa Coral Reef,Hikkaduwa,Southern,6.1394,80.1011,4,4,1,4,5,4,3,1,1,3500,4.0,87,Nov - Apr,Turtle feeding shoreline and coral snorkelling.
tangalle_coves,Tangalle Goyambokka Coves,Tangalle,Southern,6.0244,80.7933,5,3,1,3,5,3,1,1,1,1000,4.0,85,Nov - Apr,Quiet turquoise coves backed by palm groves.
weligama_surf,Weligama Bay Surf Point,Weligama,Southern,5.9722,80.4289,4,1,2,5,5,3,2,1,1,3000,3.5,88,Nov - Apr,Beginner surf bay with Taprobane Island.
bundala_ramsar,Bundala Wetland Park,Hambantota,Southern,6.1833,81.2167,5,5,1,3,2,1,1,1,1,10000,4.5,78,Sep - Mar,UNESCO wetland hosting thousands of flamingos.
hummanaya,Hummanaya Natural Blowhole,Kudawella,Southern,5.9625,80.7028,4,1,1,2,3,1,1,1,1,500,1.5,76,May - Sep,Natural ocean blowhole spraying 30m high.
matara_star_fort,Matara Paravi Duwa & Star Fort,Matara,Southern,5.9485,80.5353,3,1,4,1,4,2,2,4,4,1000,2.5,79,Nov - Apr,Island temple accessed via cable bridge.
koggala_lake,Koggala Lake & Martin Wickramasinghe Museum,Koggala,Southern,5.9961,80.3275,4,2,4,2,4,2,2,4,1,1500,3.0,81,Nov - Apr,Lake boat tours and folk culture museum.
bentota_beach,Bentota Beach & Water Sports,Bentota,Southern,6.4239,80.0003,4,2,1,5,5,4,3,1,1,4000,4.0,89,Nov - Apr,Water sports hub with jet-skiing and river safaris.
madu_river,Madu River Safari Balapitiya,Balapitiya,Southern,6.2736,80.0381,4,3,2,3,3,2,2,2,1,3000,2.5,84,Year round,Mangrove lagoon boat ride with cinnamon island.
ridiyagama_safari,Ridiyagama Open Safari Park,Ambalantota,Southern,6.2236,81.0028,4,5,1,2,1,1,1,1,1,4000,3.5,80,Year round,Drive-through lion and herbivore open safari.
dondra_lighthouse,Dondra Head Lighthouse,Matara,Southern,5.9242,80.5911,4,1,2,2,4,1,1,3,1,500,1.5,82,Nov - Apr,Southernmost tip of Sri Lanka with 49m lighthouse.
mulkirigala,Mulkirigala Rock Temple,Mulkirigala,Southern,6.1625,80.7719,4,1,5,3,1,1,1,5,5,1000,3.0,83,Year round,Ancient cliffside monastery carved into a 200m rock.
hiriketiya_bay,Hiriketiya Horseshoe Bay,Dikwella,Southern,5.9647,80.6836,5,1,1,4,5,4,2,1,1,2000,4.0,91,Nov - Apr,Trendy horseshoe beach bay famous for surf and cafes.
kudawella_beach,Kudawella Beach,Kudawella,Southern,5.96,80.7,4,1,1,2,5,2,1,1,1,0,2.5,75,Nov - Apr,Unspoiled beach bay next to the blowhole.
polhena_beach,Polhena Turtle Reef Beach,Matara,Southern,5.9389,80.5264,4,3,1,3,5,3,1,1,1,500,3.0,80,Nov - Apr,Shallow reef-protected beach where sea turtles swim.
talalla_beach,Talalla Quiet Bay,Gandara,Southern,5.9556,80.6278,5,1,1,2,5,2,1,1,1,0,3.0,79,Nov - Apr,Serene crescent bay away from commercial crowds.
madiha_beach,Madiha Surf & Turtle Point,Matara,Southern,5.9417,80.5083,4,2,1,4,5,4,1,1,1,0,3.0,82,Nov - Apr,Reef surf break and sunset beachfront bars.
midigama_surf,Midigama Surf Village,Midigama,Southern,5.9667,80.3833,4,1,1,5,5,3,1,1,1,0,3.5,81,Nov - Apr,Authentic surf spot famous for Lazy Left wave.
ahangama_beach,Ahangama Stilt Fishermen Point,Ahangama,Southern,5.975,80.3667,4,2,3,2,5,3,2,3,1,500,2.0,86,Nov - Apr,Iconic spot to observe traditional stilt fishermen.
habaraduwa_turtle,Habaraduwa Sea Turtle Hatchery,Habaraduwa,Southern,5.9972,80.3028,3,4,1,1,4,1,1,1,1,1000,1.5,83,Year round,Conservation center rescuing injured sea turtles.
rumassala_hill,Rumassala Sanctuary & Japanese Peace Pagoda,Galle,Southern,6.0125,80.2458,5,2,3,3,4,2,1,3,4,500,2.5,85,Nov - Apr,Forested promontory mythically linked to the Ramayana.
ambalangoda_mask,Ambalangoda Ariyapala Mask Museum,Ambalangoda,Southern,6.2361,80.0544,2,1,5,1,2,2,4,4,1,500,2.0,78,Year round,Traditional Sri Lankan wooden devil mask workshop.
kosgoda_hatchery,Kosgoda Sea Turtle Conservation Project,Kosgoda,Southern,6.3361,80.0278,3,4,1,1,4,1,1,1,1,1000,1.5,84,Year round,Nesting beach project safeguarding sea turtle eggs.
ahungalla_beach,Ahungalla Palm Beach,Ahungalla,Southern,6.3117,80.0322,4,1,1,2,5,3,1,1,1,0,3.0,77,Nov - Apr,Wide golden sand beach lined with luxury resorts.
tissa_lake,Tissamaharama Lake (Tissa Wewa),Tissamaharama,Southern,6.2833,81.2833,4,3,2,2,1,2,1,3,2,0,2.0,80,Year round,Ancient reservoir surrounded by giant fruit bat trees.
kirinda_temple,Kirinda Rock Temple & Beach,Kirinda,Southern,6.2125,81.3361,4,1,4,2,4,1,1,4,3,500,2.0,78,Year round,Coastal rock temple where Queen Viharamahadevi landed.
kalametiya_sanctuary,Kalametiya Bird Sanctuary Boat Tour,Hungama,Southern,6.0944,80.9389,5,5,1,2,2,1,1,1,1,3500,3.0,76,Sep - Mar,Coastal lagoon boat safari for wetland birdwatching.
uthpalawanna_devalaya,Devinuwara Upulvan Devalaya,Dondra,Southern,5.925,80.5889,2,1,4,1,3,1,1,5,5,500,1.5,75,Year round,Historic temple complex dedicated to god Upulvan.
galle_lighthouse,Galle Fort Lighthouse,Galle,Southern,6.0256,80.2181,3,1,3,1,4,3,3,4,1,0,1.0,92,Nov - Apr,Iconic 1939 white lighthouse standing on Galle rampart.
koggala_stilt,Koggala Stilt Fishing Point,Koggala,Southern,5.9917,80.3167,4,1,3,2,4,2,2,3,1,500,1.5,84,Nov - Apr,Traditional stilt fishing observation point on the reef.
seenigama_temple,Seenigama Devalaya Island Temple,Hikkaduwa,Southern,6.1556,80.0917,3,1,4,1,4,1,1,3,4,500,1.5,77,Year round,Island shrine located on a rocky islet off Hikkaduwa.
dodanwaluwa_temple,Dodanwaluwa Temple,Galle,Southern,6.05,80.2,2,1,4,1,1,1,1,4,3,0,1.5,70,Year round,Quiet historic temple nestled in Galle countryside.
yatagala_cave,Yatagala Raja Maha Vihara,Unawatuna,Southern,6.0,80.2583,3,1,5,2,1,1,1,5,4,500,2.0,79,Year round,"2,300-year-old rock cave temple near Unawatuna."
boossa_beach,Boossa Beach & Village,Boossa,Southern,6.0833,80.15,4,1,1,2,4,2,1,1,1,0,2.0,72,Nov - Apr,Quiet palm beach north of Galle fort.
gintota_river,Gintota River Estuary Kayaking,Galle,Southern,6.0667,80.1833,4,2,1,4,3,1,1,1,1,2500,2.5,73,Nov - Apr,Estuary mangrove kayaking where Gintota river meets ocean.
pitiwella_beach,Pitiwella Beach,Pitiwella,Southern,6.075,80.1667,4,1,1,2,4,2,1,1,1,0,2.0,71,Nov - Apr,Lesser-known serene beach between Hikkaduwa and Galle.
kabalana_beach,Kabalana Main Surf Point,Ahangama,Southern,5.9722,80.3556,4,1,1,5,5,3,1,1,1,0,3.5,85,Nov - Apr,Famous A-frame wave surf break for experienced surfers.
skinny_beach,Skinny Beach Cove,Unawatuna,Southern,5.98,80.252,4,1,1,2,5,3,1,1,1,0,2.5,78,Nov - Apr,Small secluded sandy bay near Wijaya beach.
wijaya_beach,Wijaya Beach & Turtle Lagoon,Unawatuna,Southern,5.9792,80.2514,4,3,1,3,5,4,2,1,1,1000,3.5,89,Nov - Apr,Reef lagoon famous for swimming alongside giant sea turtles.
dalawella_swing,Dalawella Palm Tree Swing,Unawatuna,Southern,5.9806,80.2486,4,1,1,3,5,3,1,1,1,500,1.5,88,Nov - Apr,Viral coconut palm rope swing over the ocean lagoon.
dikwella_beach,Dikwella Long Beach,Dikwella,Southern,5.9611,80.6972,4,1,1,3,5,3,1,1,1,0,3.5,80,Nov - Apr,Wide sandy crescent bay ideal for swimming and bodyboarding.
wewurukannala,Wewurukannala Vihara (Giant Buddha),Dikwella,Southern,5.975,80.7028,2,1,4,1,1,1,1,3,4,500,2.0,82,Year round,50-meter seated Buddha statue with an illustrated underworld tunnel.
nilwella_beach,Nilwella Blue Beach Island,Dikwella,Southern,5.9556,80.7167,5,1,1,3,5,2,1,1,1,1000,3.0,84,Nov - Apr,Sandbar island connected to shore at low tide.
kalametiya_lagoon,Kalametiya Mangrove Lagoon,Hungama,Southern,6.09,80.94,5,4,1,3,3,1,1,1,1,2000,3.0,75,Sep - Mar,Ecological wetland sanctuary for aquatic life.
ranminitenna,Ranminitenna Tele Cinema Village,Tissamaharama,Southern,6.27,81.24,2,1,4,1,1,1,1,2,1,1000,2.5,71,Year round,Film set recreation village representing colonial Sri Lanka.
yala_block5,Yala Block 5 (Katagamuwa Entrance),Tissamaharama,Southern,6.4,81.4,5,5,1,4,1,1,1,1,1,12000,5.0,81,Feb - Jul,Less crowded northern entrance to Yala National Park.
gangaramaya,Gangaramaya Temple,Colombo,Western,6.9169,79.8564,1,1,5,1,1,2,3,4,5,2000,2.0,89,Year round,Urban temple complex with museum artifacts on Beira Lake.
one_galle_face_mall,One Galle Face Mall,Colombo,Western,6.9268,79.8436,1,1,3,1,2,5,5,2,1,3000,3.0,86,Year round,Seven-story mall and food hall facing Galle Face Green.
colombo_national_museum,National Museum of Colombo,Colombo,Western,6.9107,79.8612,1,1,5,1,1,1,1,5,2,1500,3.0,82,Year round,Principal museum showcasing Kandyan royal thrones and bronzes.
lotus_tower_colombo,Colombo Lotus Tower,Colombo,Western,6.9272,79.8578,1,1,3,2,1,4,3,1,1,6000,2.0,91,Year round,350m tower featuring a revolving restaurant and observation deck.
kelaniya_viharaya,Kelaniya Raja Maha Vihara,Kelaniya,Western,6.9583,79.9208,2,1,5,1,1,1,1,5,5,1000,2.0,84,Year round,Sacred temple blessed by Buddha's 3rd Sri Lanka visit.
mount_lavinia_beach,Mount Lavinia Beach,Mount Lavinia,Western,6.837,79.8647,3,1,3,2,4,4,2,4,1,2000,3.5,83,Nov - Apr,Colonial beach town with sunset seafood restaurants.
negombo_beach_strip,Negombo Beach & Fish Market,Negombo,Western,7.2286,79.8397,3,2,3,3,4,4,3,3,2,2000,3.0,85,Nov - Apr,Coastal city near airport known for lagoon catamarans.
muthurajawela_wetland,Muthurajawela Wetland Sanctuary,Gampaha,Western,7.0333,79.8667,5,4,1,3,1,1,1,1,1,4000,3.0,75,Year round,"Boat safaris observing water monitors, birds and mangroves."
independence_square,Independence Memorial Hall,Colombo,Western,6.9042,79.8672,2,1,4,1,1,2,2,5,1,0,1.5,87,Year round,National monument marking Sri Lanka's independence in 1948.
viharamahadevi_park,Viharamahadevi Park,Colombo,Western,6.9139,79.8617,4,2,2,1,1,2,2,2,1,0,2.0,83,Year round,Colombo's oldest public park featuring flowering trees and fountains.
pettah_market,Pettah Floating Market & Bazaar,Colombo,Western,6.9367,79.8528,1,1,4,2,1,4,5,3,1,0,2.5,80,Year round,Bustling open-air shopping district and floating canal stalls.
dutch_hospital,Dutch Hospital Shopping Precinct,Colombo,Western,6.9339,79.8436,1,1,4,1,1,5,4,5,1,0,2.0,88,Year round,Restored 17th-century Dutch building turned dining hub.
galle_face_green,Galle Face Green Promenade,Colombo,Western,6.9236,79.8447,3,1,3,1,3,4,2,3,1,0,2.0,90,Year round,Oceanfront urban park famous for kite flying and street food.
beddagana_wetland,Beddagana Wetland Park,Kotte,Western,6.8917,79.9111,5,4,1,2,1,1,1,1,1,500,2.0,81,Year round,Elevated boardwalk trail through suburban marshlands.
diyiatha_uyana,Diyatha Uyana Park & Waterworld,Battaramulla,Western,6.8967,79.9189,4,2,2,1,1,3,3,1,1,500,2.5,84,Year round,Lakeside park with flower markets and aquarium complex.
kalutara_bodhiya,Kalutara Bodhiya & Stupa,Kalutara,Western,6.5861,79.9606,2,1,4,1,2,1,2,4,5,500,1.5,85,Year round,World's only hollow Buddhist stupa located beside Kalu Ganga.
richmond_castle,Richmond Castle Kalutara,Kalutara,Western,6.5772,79.9822,3,1,4,1,1,1,1,5,1,1000,2.0,78,Year round,2-story Edwardian mansion built in 1900 with Indian teak wood.
beruwala_barberyn,Barberyn Lighthouse Island,Beruwala,Western,6.4633,79.9678,4,1,2,3,4,1,1,3,1,1500,2.5,77,Nov - Apr,Islet lighthouse accessible by boat off Beruwala coast.
brief_garden,Brief Garden by Bevis Bawa,Bentota,Western,6.45,80.0333,5,1,4,1,1,2,1,3,1,2000,2.0,82,Year round,Landscaped tropical estate garden created by artist Bevis Bawa.
seethawaka_wetland,Seethawaka Botanical Garden,Avissawella,Western,6.9472,80.2089,5,2,2,2,1,2,1,1,1,1000,3.0,79,Year round,Highland botanical reserve featuring temperate zone flora.
labugama_kalatuwawa,Labugama-Kalatuwawa Forest Reserve,Hanwella,Western,6.8333,80.1833,5,3,1,3,1,1,1,1,1,500,3.0,72,Year round,Protected forest watershed reservoir serving Colombo city.
attidiya_sanctuary,Attidiya Bird Sanctuary,Dehiwala,Western,6.8444,79.8889,5,4,1,1,1,1,1,1,1,0,2.0,70,Year round,Suburban marshland bird sanctuary along Bolgoda canal.
bolgoda_lake,Bolgoda Lake Water Sports,Moratuwa,Western,6.7167,79.9167,4,2,1,4,1,2,1,1,1,3000,3.0,76,Year round,Largest natural lake in Sri Lanka popular for jet-skiing.
dehiwala_zoo,National Zoological Gardens Dehiwala,Dehiwala,Western,6.8567,79.8744,3,5,1,1,1,2,2,1,1,3000,3.5,83,Year round,"Sri Lanka's oldest zoo hosting mammals, birds and aquarium."
planetarium_colombo,Sri Lanka Planetarium,Colombo,Western,6.9017,79.8608,1,1,3,1,1,1,1,2,1,500,1.5,75,Year round,Public planetarium dome located at Colombo University.
old_parliament,Old Parliament Building,Colombo,Western,6.9328,79.8425,1,1,4,1,1,1,1,5,1,0,1.0,81,Year round,Neoclassical 1930 building housing the Presidential Secretariat.
red_mosque,Jami Ul-Alfar Mosque (Red Mosque),Colombo,Western,6.9383,79.8517,1,1,5,1,1,2,3,4,5,500,1.0,89,Year round,Iconic red-and-white candy-striped mosque in Pettah.
st_lucys_cathedral,St. Lucia's Cathedral Kotahena,Colombo,Western,6.9486,79.8603,1,1,4,1,1,1,1,4,5,0,1.0,78,Year round,Seat of the Roman Catholic Archbishop of Colombo.
wolvendaal_church,Wolvendaal Dutch Church,Colombo,Western,6.9408,79.8567,1,1,4,1,1,1,1,5,4,0,1.0,76,Year round,1749 Dutch Doric church holding colonial tombstones.
sambodhi_chaithya,Sambodhi Chaithya Stupa,Colombo,Western,6.9361,79.8406,2,1,3,1,2,1,1,2,4,0,1.0,77,Year round,Elevated maritime stupa built on concrete arches at Colombo Port.
crow_island,Crow Island Beach Park,Mattakkuliya,Western,6.9667,79.8667,3,1,1,2,3,2,1,1,1,0,2.0,72,Year round,Coastal urban beach park with sea view walking tracks.
negombo_dutch_fort,Negombo Dutch Fort Ruins,Negombo,Western,7.2083,79.8333,1,1,3,1,2,2,3,4,1,0,1.0,74,Year round,17th-century Dutch gateway ruins now part of Negombo prison.
loluwagoda_rubber,Loluwagoda Rubber Estate Trail,Mirigama,Western,7.2333,80.1333,4,1,2,2,1,1,1,2,1,0,2.0,69,Year round,Sprawling rubber plantation trails in rural Gampaha.
guruge_nature_park,Guruge Nature Park,Ja-Ela,Western,7.0833,79.8833,3,2,3,2,1,3,2,2,1,1000,3.0,73,Year round,Theme park showcasing ancient Sri Lankan kingdom replicas.
horagolla_national_park,Horagolla National Park,Nittambuwa,Western,7.15,80.0167,5,4,1,2,1,1,1,1,1,1500,2.0,71,Year round,Smallest national park in Sri Lanka protecting dipterocarp trees.
ranpokunawila,Ranpokunawila Ancient Tank,Mirigama,Western,7.2,80.1,4,1,2,1,1,1,1,3,1,0,1.5,68,Year round,Historic irrigation reservoir surrounded by paddy fields.
panadura_beach,Panadura Beach & Estuary,Panadura,Western,6.7167,79.9,3,1,1,2,4,2,2,1,1,0,2.5,75,Nov - Apr,Long sandy beach town located south of Colombo.
wadduwa_beach,Wadduwa Coconut Beach Strip,Wadduwa,Western,6.6667,79.9333,4,1,1,2,4,3,2,1,1,0,3.0,78,Nov - Apr,Palm-lined beach resort town known for toddy tapping.
kalutara_castle_view,Kalu Ganga River Mouth,Kalutara,Western,6.5833,79.95,4,1,1,3,3,2,1,1,1,0,2.0,74,Year round,Estuary where Kalu Ganga flows into the Indian Ocean.
pasyala_spice,Pasyala Fruit & Spice Market,Pasyala,Western,7.1333,80.1167,2,1,2,1,1,4,4,1,1,0,1.5,72,Year round,"Roadside market famous for fresh rambutan, cashews and spices."
warana_cave_temple,Warana Rajamaha Viharaya,Thihariya,Western,7.1167,80.0667,3,1,5,2,1,1,1,5,4,500,2.0,76,Year round,Ancient rock cave temple with King Walagamba connections.
pilikuttuwa_cave,Pilikuttuwa Raja Maha Vihara,Kiribathgoda,Western,7.05,79.9833,4,1,5,2,1,1,1,5,4,500,2.5,77,Year round,Forest cave temple complex containing 99 natural rock caves.
